k0_y,k0_x,k1_y,k1_x
0,0,0,0
0,0,0,0
334,261,336,665
327,255,310,671
332,255,298,676
332,256,306,667
338,261,323,659
337,263,360,656
354,285,333,654
360,285,307,652
353,283,290,653
340,288,318,701
334,293,330,715
338,319,335,720
344,381,451,653
329,403,454,652
309,376,373,521
352,511,274,709
360,506,308,710
363,509,286,707
378,540,318,707
361,466,406,625
329,424,386,555
388,533,293,705
390,540,286,704
406,550,321,712
391,560,281,642
385,497,339,632
429,487,335,627
418,505,319,629
435,473,345,582
392,490,316,612
373,501,271,610
305,559,371,669
339,532,241,635
263,588,363,665
227,609,357,664
240,572,245,661
216,634,385,656
191,629,351,665
188,632,351,662
192,594,256,664
255,640,131,691
252,639,148,698
244,642,446,654
268,663,145,617
264,661,161,609
264,661,163,607
253,641,261,702
252,666,199,602
249,662,237,597
270,657,190,596
283,657,169,607
269,653,437,654
350,658,101,689
345,638,288,709
391,708,260,635
303,677,163,616
381,676,174,650
410,667,177,606
418,682,182,600
240,662,231,564
319,640,161,574
355,690,192,582
355,689,170,552
257,619,119,459
392,695,148,499
411,702,143,470
413,703,142,462
416,693,136,442
404,694,138,432
363,697,142,433
362,684,142,426
351,653,135,428
335,645,126,441
329,645,132,418
334,648,132,393
363,656,139,397
362,668,138,410
375,681,150,397
371,694,152,384
374,695,161,371
369,648,165,348
349,674,169,322
352,656,160,298
325,671,154,276
319,679,177,279
347,671,173,271
352,661,181,268
349,648,191,276
353,647,196,274
354,650,180,280
343,656,171,291
341,651,155,319
344,636,151,355
349,632,156,391
356,625,168,408
350,637,183,422
359,657,190,434
360,562,194,423
376,594,230,443
383,614,281,464
381,617,272,463
383,616,282,461
433,581,318,534
358,557,248,692
369,561,248,663
361,578,180,679
381,577,248,673
373,596,208,686
399,584,221,657
391,600,204,664
401,611,204,652
413,626,203,651
397,611,212,655
388,598,203,651
383,569,235,691
388,574,216,670
366,635,122,652
355,633,126,639
371,596,171,651
342,633,153,642
337,653,155,639
316,655,145,624
331,656,145,612
332,645,143,600
355,655,177,617
218,626,106,488
163,573,324,687
149,504,254,663
132,473,316,656
146,499,343,658
129,440,314,583
148,427,343,675
145,419,329,680
163,398,329,688
141,344,337,698
139,296,331,692
148,293,329,684
162,290,331,683
176,292,334,684
177,292,335,684
167,301,322,683
157,301,332,675
161,302,337,668
165,303,340,663
157,313,339,670
167,307,345,647
175,308,345,662
179,310,349,671
188,308,359,668
194,305,356,646
198,301,356,630
198,300,359,625
193,303,347,631
181,287,342,644
182,312,336,632
184,312,336,622
175,314,331,610
154,337,326,605
153,349,316,608
151,368,298,611
143,404,289,615
147,432,271,632
154,450,251,642
169,490,234,651
160,461,213,640
151,521,234,653
187,611,174,396
238,653,156,535
248,654,162,559
243,641,172,502
272,643,159,544
201,631,355,559
206,628,358,551
219,645,377,540
264,644,340,480
308,558,365,692
340,638,329,440
310,671,339,470
315,675,333,458
304,673,359,433
301,677,364,405
304,678,372,396
288,674,367,398
300,674,370,394
307,680,373,389
336,680,376,379
345,682,379,371
324,682,379,366
306,686,376,358
442,659,384,343
379,679,389,329
345,683,395,325
349,682,400,322
349,681,390,312
335,681,387,291
343,678,393,295
383,676,383,295
376,679,369,292
343,664,372,277
281,647,397,454
286,630,397,431
322,548,407,486
310,657,391,435
375,496,367,306
356,368,420,321
398,391,317,287
413,472,370,297
399,445,383,278
400,359,330,245
405,373,340,231
371,288,415,469
368,292,414,472
368,289,404,460
321,264,394,355
320,252,390,343
320,245,390,340
360,273,405,467
325,280,399,376
356,258,390,427
298,244,383,326
342,260,384,419
311,259,389,358
332,251,383,410
340,248,382,428
335,245,382,423
340,247,382,445
329,245,382,442
332,244,382,454
342,242,381,425
351,239,383,428
356,238,387,436
345,249,388,440
327,245,395,371
327,235,385,381
330,257,395,441
329,254,384,401
306,249,386,409
358,207,336,392
368,222,321,399
347,244,301,404
337,262,279,407
322,267,279,405
348,245,256,393
357,248,254,384
350,250,265,380
343,251,272,374
286,318,358,432
217,301,360,368
212,335,362,323
235,348,379,286
235,343,358,273
203,357,312,282
246,300,396,268
309,327,204,239
304,328,195,232
218,303,389,278
260,316,255,228
258,310,255,225
248,298,318,219
246,290,314,216
249,301,297,213
243,365,261,231
239,356,263,229
221,352,272,221
200,346,287,229
191,346,291,227
171,333,296,220
159,334,293,229
209,297,304,208
237,300,297,208
246,281,333,193
239,219,361,296
234,206,349,301
213,211,350,249
220,207,355,255
224,230,365,263
227,235,376,280
231,250,391,275
227,236,365,289
227,259,380,285
226,230,376,277
293,261,422,315
297,268,423,317
316,267,419,362
307,277,427,364
294,279,419,372
283,273,395,347
322,254,415,405
327,260,422,413
338,270,420,422
334,273,420,423
385,330,261,193
388,337,261,245
412,374,303,258
411,381,295,251
408,350,275,238
412,341,275,238
0,0,0,0
