k0_y,k0_x,k1_y,k1_x
0,0,0,0
0,0,0,0
338,259,325,666
328,256,309,672
334,256,300,679
330,255,300,668
332,265,318,659
336,262,358,656
356,286,332,655
365,288,293,652
357,288,285,653
342,294,318,701
341,305,330,717
338,323,338,720
343,403,450,653
328,409,454,652
310,367,370,526
350,473,344,702
362,507,273,706
365,490,316,706
376,533,316,707
363,469,411,636
336,424,385,546
385,528,292,705
389,536,284,703
404,552,293,707
384,550,299,658
393,566,302,627
427,488,329,629
348,585,366,666
323,615,417,479
321,603,401,468
334,552,437,659
361,516,259,612
299,567,367,666
348,525,229,642
287,558,235,658
266,570,229,663
203,631,362,664
193,628,355,665
191,628,352,659
197,593,257,665
222,595,257,662
215,628,327,664
266,655,136,622
258,655,441,431
269,667,210,598
265,661,166,604
260,661,253,594
250,666,212,602
250,663,238,598
271,660,215,601
283,658,171,605
253,664,423,648
350,657,101,689
347,637,290,709
367,711,267,636
249,701,268,626
190,629,387,705
177,607,404,671
182,598,418,681
119,580,296,628
127,581,287,627
208,596,413,680
156,544,357,687
159,530,377,688
146,484,392,695
140,460,412,701
144,453,413,703
137,442,416,694
135,437,405,693
143,434,362,697
139,424,361,682
140,435,352,653
133,439,332,643
132,417,330,647
131,398,333,648
138,399,365,653
138,424,363,667
152,407,375,664
159,395,367,694
167,391,376,654
174,363,368,649
182,335,349,673
163,299,351,654
164,283,327,671
189,290,326,681
178,272,343,671
183,268,350,661
192,278,346,648
203,279,353,647
177,281,354,649
169,291,341,657
143,332,341,650
149,379,344,637
155,409,346,628
168,437,355,625
184,433,350,632
179,414,339,585
198,428,362,562
211,441,376,569
262,454,381,601
244,444,387,595
270,452,386,610
315,524,434,582
352,555,251,692
359,562,215,680
359,577,178,681
372,578,246,674
399,576,240,668
399,585,216,656
394,597,204,664
404,610,205,652
413,624,204,650
395,612,211,652
390,595,200,651
391,600,195,653
383,563,233,676
387,598,160,670
354,632,126,639
342,635,134,639
342,630,152,642
334,649,146,636
314,666,137,615
205,652,401,557
194,639,402,552
202,633,390,534
217,629,104,485
195,610,103,464
347,690,154,520
316,656,128,465
343,660,150,466
344,656,148,456
341,677,147,434
311,675,144,433
329,689,168,411
336,698,162,368
331,693,155,313
330,684,153,308
332,683,172,298
334,683,179,292
336,684,184,294
335,682,169,300
333,672,155,302
340,662,163,303
342,659,165,303
340,670,159,312
345,648,168,307
345,660,173,310
351,670,177,311
359,664,188,308
356,646,195,305
360,628,199,301
362,624,202,300
350,631,196,304
343,643,179,288
334,634,186,312
333,627,179,313
332,607,175,314
327,605,147,347
313,612,145,375
291,620,144,396
288,614,141,421
269,632,142,443
248,642,156,448
235,648,170,492
224,645,141,468
229,653,145,496
232,656,149,514
236,653,156,504
265,644,165,559
237,642,167,495
337,550,209,634
358,555,201,630
363,541,206,618
419,609,290,560
342,483,268,642
323,451,326,627
353,474,266,669
319,504,422,675
342,458,317,675
357,429,317,672
358,410,302,677
371,401,298,674
365,397,292,672
368,394,293,672
372,394,306,679
374,380,334,680
380,376,348,682
376,375,321,683
371,363,303,687
379,349,440,660
384,335,379,679
390,340,247,718
392,317,371,680
389,315,350,681
388,295,335,681
393,295,344,678
404,333,325,679
369,291,379,678
371,278,350,655
410,338,344,539
280,636,398,438
347,513,424,468
372,305,382,521
369,309,375,509
414,330,355,406
318,291,399,404
312,288,393,371
314,276,397,366
344,229,401,375
378,280,415,456
373,290,415,465
370,292,412,459
368,292,411,465
374,284,399,470
321,250,391,339
321,260,393,332
312,250,391,341
356,271,395,455
363,261,398,441
301,239,384,327
338,259,381,415
308,263,391,347
335,255,383,439
342,251,382,438
342,250,381,437
338,249,381,443
329,247,383,445
343,253,406,460
342,243,381,423
345,240,381,427
353,238,386,434
373,294,430,243
329,249,396,361
332,239,382,380
360,258,379,427
285,262,392,368
331,227,359,383
358,204,324,391
378,227,306,399
345,247,284,405
334,265,272,411
319,268,267,408
335,241,251,399
351,247,243,386
350,253,254,383
343,316,208,367
335,253,289,378
359,373,215,301
373,294,251,363
365,325,219,335
360,275,236,344
320,350,229,251
246,297,396,268
309,324,207,237
382,273,216,299
387,278,217,302
369,293,224,303
341,311,198,242
377,259,227,266
311,216,244,289
240,272,393,289
248,302,262,206
238,284,398,240
267,221,222,360
272,203,234,297
284,224,196,349
289,221,167,338
325,228,170,306
302,206,205,298
315,204,244,293
327,194,245,286
247,217,360,297
236,206,350,301
244,220,342,305
220,203,355,257
225,229,358,263
229,240,375,270
232,248,390,271
227,235,363,288
227,258,383,285
307,252,423,303
296,262,425,318
295,264,424,318
322,278,431,332
299,276,425,370
291,280,421,380
283,277,397,351
326,258,418,416
335,273,425,426
338,270,419,436
309,261,398,358
265,192,385,330
261,247,388,338
323,264,417,422
265,251,394,333
271,239,405,345
273,237,410,335
0,0,0,0
