k0_y,k0_x,k1_y,k1_x
0,0,0,0
0,0,0,0
344,257,329,666
342,257,313,672
347,258,304,675
331,258,304,672
324,266,325,661
343,277,350,656
355,287,342,654
365,292,320,654
354,291,300,657
347,298,313,656
345,309,330,709
349,307,344,478
344,319,340,462
331,390,360,561
330,411,372,588
333,432,374,607
339,419,365,606
341,466,404,598
341,461,409,598
344,459,411,591
351,497,415,559
377,492,385,631
413,518,324,688
414,525,324,652
414,542,317,641
406,553,308,644
414,531,316,641
415,517,312,628
401,508,301,617
396,503,289,610
383,508,272,607
357,527,246,612
347,538,213,623
349,538,195,639
336,551,179,654
305,563,173,658
283,573,154,669
275,580,148,673
267,593,136,679
217,627,352,660
218,631,347,665
219,608,252,667
201,634,359,666
198,608,266,673
196,637,323,676
213,629,327,675
218,635,331,673
212,633,331,666
214,634,387,654
223,628,398,656
224,633,400,654
243,645,390,658
245,649,391,658
244,644,389,659
192,645,395,649
168,648,382,674
172,639,380,693
179,604,385,685
173,603,413,677
173,601,365,692
172,585,342,674
160,564,334,679
152,545,328,671
145,512,333,630
136,472,322,626
141,467,390,683
144,450,407,697
142,446,418,692
144,441,406,697
144,434,357,687
148,429,356,672
142,430,341,662
134,434,328,656
124,401,325,652
131,389,325,650
138,404,343,651
142,411,373,666
153,402,373,673
158,396,382,684
164,382,375,681
171,370,366,649
174,351,352,672
169,321,345,673
178,299,336,654
189,291,332,672
189,282,362,661
191,270,362,650
193,270,363,645
176,274,356,646
167,281,350,653
159,300,338,653
154,335,338,647
156,378,342,637
156,387,333,619
152,407,324,607
164,422,329,602
178,419,341,524
187,423,356,523
210,435,375,555
226,438,380,567
246,445,388,594
250,447,381,575
297,470,386,620
294,521,405,627
359,568,212,672
364,572,247,677
370,578,233,681
374,583,223,683
381,586,212,670
361,604,170,668
354,619,163,677
384,632,192,663
390,592,246,669
393,610,220,652
383,608,202,653
386,624,164,657
397,582,260,673
396,569,214,665
388,568,202,664
388,585,195,665
387,563,193,664
338,649,165,636
301,669,129,593
298,669,134,596
300,664,131,584
273,659,138,569
255,649,137,529
251,654,129,478
311,659,140,473
305,627,136,456
292,597,128,440
328,656,148,443
332,681,153,439
329,689,165,425
330,691,160,380
333,692,155,347
331,685,162,326
333,684,166,302
336,684,179,293
333,683,176,292
333,679,161,295
333,673,154,303
340,666,152,303
340,666,158,303
340,671,159,306
342,669,165,308
344,667,180,307
349,665,181,307
359,662,190,306
357,652,193,305
360,632,195,300
361,643,191,297
351,645,197,296
346,641,176,311
334,640,170,318
332,627,167,316
330,617,148,334
323,612,145,354
309,614,142,378
299,614,144,397
289,620,144,420
274,632,149,436
239,639,152,441
235,653,160,460
231,654,160,498
239,658,158,515
236,659,156,499
242,657,162,509
266,640,166,539
291,622,175,585
295,631,170,562
359,559,196,623
368,539,202,628
359,519,234,637
365,478,273,634
362,539,222,628
356,475,295,652
361,478,311,665
380,436,288,662
401,425,276,635
400,404,285,491
388,382,293,650
404,365,293,485
403,364,301,485
405,368,307,483
376,388,328,680
381,374,350,679
403,312,331,447
404,296,334,430
404,287,343,418
404,279,345,413
387,332,408,678
385,325,372,680
389,305,349,680
388,296,345,679
384,294,378,677
384,308,381,676
369,320,371,651
400,496,306,666
406,472,309,631
407,436,336,685
406,452,320,675
392,418,329,636
387,362,349,571
388,331,366,521
367,302,384,479
374,294,393,467
381,290,391,458
382,275,406,446
378,281,413,455
367,301,420,444
373,286,411,455
370,291,405,456
376,289,397,457
375,280,386,460
363,277,399,466
355,280,401,462
358,275,401,458
350,270,394,445
342,263,386,423
328,262,385,418
307,266,398,367
330,259,385,433
305,259,398,338
312,247,400,356
341,248,394,447
294,253,398,342
296,251,400,318
350,242,386,442
358,238,384,432
307,240,391,324
326,248,400,339
321,262,402,369
309,258,406,388
298,263,405,373
288,285,408,363
280,318,403,374
354,223,328,389
371,238,309,399
366,241,293,402
346,252,287,407
359,259,279,408
356,267,257,399
359,258,249,396
367,260,250,387
346,252,257,379
352,258,278,376
380,374,236,299
382,385,225,300
361,388,225,286
358,386,239,274
345,356,219,262
331,350,210,251
332,338,207,252
321,333,197,244
314,329,192,238
349,324,207,238
374,314,209,234
368,308,224,227
360,306,227,225
293,307,228,222
384,236,239,283
282,224,234,350
279,222,212,351
347,215,202,307
330,218,196,318
317,219,187,322
319,212,187,311
309,207,197,307
327,214,190,302
343,215,198,303
359,206,198,296
369,199,206,281
374,244,210,232
369,252,213,220
386,263,223,228
403,237,234,245
373,304,293,226
389,310,338,232
392,293,232,253
399,299,239,252
399,312,272,248
395,329,303,251
406,338,287,257
411,357,281,268
411,364,289,272
413,388,308,271
416,402,317,267
424,417,326,268
421,423,326,265
412,404,319,257
412,396,310,255
405,371,293,257
409,390,300,260
407,325,273,243
410,326,272,238
418,403,297,237
0,0,0,0
