k0_y,k0_x,k1_y,k1_x
0,0,0,0
0,0,0,0
338,259,325,666
328,256,309,672
334,256,300,679
330,255,300,668
332,265,318,659
336,262,358,656
356,286,332,655
365,288,293,652
357,288,285,653
342,294,318,701
341,305,330,717
338,323,338,720
343,403,450,653
328,409,454,652
346,459,383,697
350,473,344,702
349,441,358,633
364,492,313,708
373,539,305,710
384,520,366,713
386,509,339,713
385,528,292,705
389,536,284,703
403,553,288,706
375,582,260,662
393,565,302,634
412,551,305,625
347,586,368,662
317,620,411,486
313,611,395,481
333,553,438,657
301,559,369,668
299,567,367,666
354,537,204,633
297,549,219,654
221,626,355,664
202,630,360,665
178,664,261,558
191,628,352,659
211,590,255,664
234,594,256,661
218,629,336,665
196,605,268,663
258,655,441,431
209,625,321,667
206,629,327,668
255,659,256,589
247,666,223,602
248,664,248,599
264,653,169,605
278,656,163,613
257,706,346,644
280,647,418,715
276,712,363,638
264,638,391,712
281,645,108,678
280,648,110,662
177,607,404,671
182,598,418,681
172,587,358,684
197,601,392,687
192,584,372,695
157,545,357,688
153,518,362,688
146,484,392,695
140,460,412,701
139,451,401,698
137,442,416,694
135,437,405,693
143,434,362,697
139,424,361,682
140,435,352,653
133,439,332,643
132,417,330,647
131,398,333,648
138,399,365,653
138,424,363,667
152,407,375,664
159,395,367,694
167,391,376,654
174,363,368,649
182,335,349,673
163,299,351,654
164,283,327,671
189,290,326,681
178,272,343,671
183,268,350,661
192,278,346,648
203,279,353,647
177,281,354,649
169,291,341,657
143,332,341,650
149,379,344,637
155,409,346,628
168,437,355,625
157,345,300,515
186,429,352,640
201,430,367,575
214,441,377,572
262,454,379,601
240,441,385,590
276,458,386,618
301,469,374,581
321,486,375,637
362,561,225,675
359,555,304,672
367,581,231,681
396,576,235,670
395,592,210,659
398,593,208,662
404,610,205,652
413,624,204,650
395,612,211,652
390,595,200,651
391,600,195,653
396,566,224,669
372,618,137,659
381,596,151,654
342,635,135,639
341,638,143,641
336,647,156,644
329,656,149,626
332,651,146,609
332,643,141,592
344,661,161,612
208,624,415,522
257,641,133,536
312,680,143,499
321,656,136,468
326,616,122,453
344,656,148,456
341,677,147,434
329,680,147,433
329,689,168,411
336,698,162,368
331,693,155,313
330,684,153,308
332,683,172,298
334,683,179,292
336,684,184,294
335,682,169,300
333,672,155,302
340,662,163,303
342,659,165,303
340,670,159,312
345,648,168,307
345,660,173,310
351,670,177,311
359,664,188,308
356,646,195,305
360,628,199,301
362,624,202,300
350,631,196,304
343,643,179,288
334,634,186,312
333,627,179,313
332,607,175,314
327,605,147,347
313,612,145,375
291,620,144,396
288,614,141,421
269,632,142,443
248,642,156,448
231,642,169,477
231,646,147,482
244,658,161,527
214,656,152,474
235,658,159,500
264,646,165,557
176,495,237,642
163,523,266,645
361,541,208,613
370,536,210,607
361,530,231,645
344,484,266,643
331,449,321,624
367,424,333,616
333,484,361,671
342,458,317,675
357,429,317,672
358,410,302,677
371,401,298,674
365,397,292,672
368,394,293,672
372,394,306,679
374,380,334,680
380,376,348,682
376,375,321,683
371,363,303,687
379,349,440,660
384,335,379,679
390,321,367,681
392,317,371,680
389,315,350,681
388,295,335,681
393,295,344,678
384,298,382,677
369,291,379,678
371,278,350,655
410,337,345,539
398,437,282,634
396,458,292,696
390,431,303,662
327,278,381,456
325,280,385,419
373,296,406,460
313,285,393,379
315,273,397,368
400,360,328,248
405,369,342,229
374,288,414,460
368,295,414,465
368,291,410,462
374,285,403,473
390,340,322,246
389,336,317,250
360,273,401,468
366,283,417,461
363,260,395,439
370,279,429,447
338,259,381,416
334,257,379,413
332,253,383,427
341,250,382,437
338,248,382,430
335,247,382,430
333,250,386,450
337,250,400,458
340,242,381,419
347,240,381,429
351,237,386,433
361,252,389,460
333,252,400,373
314,245,391,426
301,262,402,365
283,263,390,367
335,223,354,380
358,204,324,391
378,228,307,400
345,247,284,405
334,265,272,411
319,268,267,408
335,241,251,399
351,247,243,386
350,253,254,383
340,251,268,376
284,322,385,426
213,303,360,372
223,348,370,313
242,284,379,382
236,344,360,275
321,345,218,252
313,300,185,269
314,322,196,241
318,327,194,244
387,278,217,302
373,269,226,300
348,312,206,240
377,259,227,266
361,303,234,227
276,234,238,376
261,231,245,364
263,229,244,356
271,220,223,357
285,217,199,341
286,223,194,347
294,220,171,335
281,242,176,342
301,207,207,299
315,212,218,302
350,189,241,280
345,195,271,284
369,192,235,283
342,305,244,220
355,257,220,203
358,263,225,229
400,276,235,248
390,271,232,248
363,288,227,235
383,285,227,258
423,295,306,252
377,289,233,268
380,291,236,265
423,342,307,267
424,369,298,275
391,343,265,280
418,399,310,275
412,422,331,265
424,418,331,269
405,382,316,252
417,439,334,269
408,462,330,263
388,339,263,252
388,329,266,246
415,370,286,255
397,339,268,239
405,325,272,238
0,0,0,0
