k1_y,k1_x,k2_y,k2_x
349,270,357,716
342,264,358,724
345,274,355,726
359,276,359,724
349,273,359,725
354,273,354,725
347,272,355,723
347,270,353,719
348,263,358,722
348,264,354,709
358,260,352,708
354,271,354,710
358,301,351,708
347,323,355,705
342,352,352,705
341,397,357,707
340,433,361,705
346,454,356,704
343,476,359,699
356,503,348,699
369,522,353,697
392,539,357,697
403,538,354,694
407,539,354,693
411,557,358,694
411,548,355,694
405,538,356,696
399,537,359,705
390,545,357,715
385,537,356,716
368,551,360,719
353,546,358,726
321,550,361,720
296,554,362,724
278,573,355,729
258,590,356,727
226,607,359,722
208,613,361,722
189,626,355,717
169,642,356,718
171,648,358,720
178,649,358,723
171,647,356,721
165,643,357,720
178,642,358,721
160,644,361,715
166,651,359,715
170,644,352,719
164,647,351,717
159,651,357,718
169,650,353,715
167,650,355,722
174,652,358,721
165,653,352,712
172,653,358,711
171,653,361,706
176,649,359,698
186,646,357,691
195,647,357,689
185,653,354,683
188,634,353,689
178,608,356,684
172,593,357,682
173,579,356,684
171,564,358,677
170,535,356,683
159,505,361,683
144,480,358,681
139,463,356,690
142,443,359,685
148,433,358,689
145,428,357,687
142,418,357,687
137,410,360,689
142,417,364,685
143,419,370,680
142,420,378,676
144,422,371,676
139,415,375,680
137,393,368,685
140,378,375,683
149,360,364,686
141,343,364,683
143,318,364,685
153,304,368,679
150,277,361,679
159,262,365,681
168,252,369,680
165,241,366,682
165,247,365,687
171,249,368,694
176,260,372,699
159,281,373,695
149,302,374,700
154,334,365,679
141,364,375,664
144,390,386,652
159,411,389,655
196,433,396,674
219,454,394,670
256,463,396,675
287,470,392,670
314,485,394,665
345,505,383,646
378,527,362,661
395,531,351,658
408,556,330,662
411,560,301,670
404,574,286,671
404,579,255,673
398,578,237,677
395,585,231,686
391,587,197,695
394,581,182,695
385,572,173,693
394,571,166,701
400,583,176,706
393,585,170,707
391,593,176,705
389,587,165,701
371,592,152,693
369,583,160,682
375,589,154,678
373,590,157,672
373,589,159,654
365,586,164,633
369,587,158,621
369,587,149,606
367,591,151,588
369,588,150,573
369,585,150,535
372,585,151,502
370,594,139,463
373,598,128,420
359,599,121,388
370,595,122,348
368,589,123,314
370,594,135,292
363,591,138,269
372,594,154,260
369,591,158,255
368,589,164,258
370,587,166,255
374,594,167,269
371,592,161,275
374,594,166,277
366,591,168,286
365,585,170,288
368,588,169,292
361,584,177,304
369,583,183,311
366,586,183,311
376,594,176,310
366,588,173,308
366,581,165,310
375,591,166,303
365,585,180,298
362,590,168,300
363,590,168,298
347,590,163,306
327,593,155,320
316,592,144,333
310,593,129,363
300,594,142,398
294,597,146,420
300,595,146,452
300,599,145,474
296,592,146,505
297,591,157,520
298,595,160,546
292,594,166,561
295,597,157,572
307,577,176,614
307,574,185,628
305,573,199,642
317,569,236,668
339,553,257,697
348,524,291,716
356,491,306,718
357,467,327,727
361,442,345,728
358,409,356,741
362,391,350,752
377,386,358,750
377,384,357,752
379,373,364,752
380,375,361,752
376,373,361,746
389,363,363,740
392,359,359,747
381,350,357,740
386,328,355,748
395,317,365,747
400,307,361,746
402,286,352,753
402,264,358,752
397,270,360,749
392,263,362,747
384,270,353,741
385,267,354,744
383,262,357,706
375,266,344,669
377,273,353,614
382,264,368,527
374,266,383,471
380,255,401,421
382,253,410,400
379,246,423,375
375,247,421,370
372,250,417,365
371,236,417,362
371,246,409,383
368,249,424,378
361,252,416,378
366,240,413,378
365,246,416,378
362,243,422,381
362,246,423,381
354,231,425,377
353,222,417,364
351,205,418,347
348,220,419,336
345,214,425,330
342,213,422,329
337,214,428,329
340,209,421,334
337,204,428,340
336,202,422,345
341,202,422,356
328,203,429,358
331,205,415,357
326,199,426,357
346,203,418,368
341,206,435,375
334,213,437,384
342,205,437,385
335,203,425,379
354,196,407,383
343,209,382,380
337,205,367,390
337,209,336,393
351,215,315,412
354,229,307,418
351,230,296,405
366,230,287,403
375,237,299,390
367,238,289,390
394,260,288,376
381,261,272,382
378,282,260,379
369,278,255,376
369,279,241,364
361,280,249,345
354,275,240,328
353,273,237,317
359,269,226,317
359,267,208,316
353,263,203,310
364,259,206,311
355,257,206,310
349,264,202,316
351,259,210,312
353,257,208,318
348,258,211,311
347,253,207,305
340,249,195,290
333,244,191,273
339,237,182,264
337,235,175,258
336,240,167,251
337,252,186,237
316,265,205,224
322,264,233,222
339,263,278,207
342,253,281,207
336,251,304,186
340,256,315,180
327,259,336,183
337,249,344,179
346,252,341,180
334,252,348,171
341,265,349,174
346,264,339,163
347,281,343,178
351,289,350,172
358,291,346,170
359,298,353,170
368,320,355,165
372,328,353,163
381,328,351,176
396,341,349,188
405,355,358,187
411,361,358,186
408,362,356,177
413,374,359,184
409,371,353,200
408,379,348,204
411,387,351,197
414,383,351,201
415,380,353,201
