k0_y,k0_x
0,0
0,0
160,463
161,451
166,457
190,465
183,447
174,452
188,472
148,453
178,460
193,456
177,461
156,444
156,434
169,420
175,415
135,439
177,440
189,439
183,440
142,441
171,465
183,509
171,572
161,582
170,548
171,581
162,540
140,479
144,458
173,542
183,519
165,469
151,427
135,334
149,335
175,305
178,303
155,316
139,335
136,368
139,379
143,409
127,424
132,425
132,443
146,449
140,474
152,449
164,450
167,444
181,454
175,446
170,442
168,434
174,428
168,426
174,421
148,416
138,415
146,426
126,431
126,427
128,425
140,433
147,433
145,434
132,435
122,435
149,431
174,423
197,422
185,427
175,398
146,426
147,427
151,430
155,430
189,428
198,423
175,416
170,421
159,418
156,412
168,401
181,407
165,418
162,432
174,431
162,435
150,444
158,461
163,464
162,467
162,469
156,470
156,472
146,478
146,482
152,484
139,466
149,471
151,472
153,473
153,474
150,468
153,468
147,464
136,457
134,443
113,444
126,458
133,459
137,452
144,452
150,456
176,448
175,438
175,444
182,448
199,442
202,416
199,408
205,408
204,386
210,362
213,357
209,332
219,310
227,299
229,298
239,298
245,285
249,277
253,282
256,276
257,280
255,285
250,278
232,295
227,291
222,294
219,300
217,294
237,277
235,283
234,289
244,297
253,298
266,291
279,281
290,269
289,267
300,255
306,243
294,246
295,241
293,250
294,250
302,239
315,232
316,239
336,233
342,223
339,226
324,239
333,241
333,239
329,245
332,243
330,240
311,245
314,241
310,245
303,256
298,254
289,254
287,255
294,257
308,246
314,241
311,238
304,243
312,231
305,233
298,233
296,234
295,234
297,234
303,233
348,222
326,219
323,222
308,226
311,222
304,229
303,233
302,233
319,225
324,213
309,231
308,230
308,230
303,235
307,238
312,232
324,223
324,224
324,222
318,238
317,237
320,229
317,230
307,236
301,245
299,238
314,233
314,235
310,238
299,242
298,240
296,245
290,237
290,235
292,236
290,236
289,228
296,228
298,227
309,226
321,231
299,234
305,224
304,223
312,225
314,234
351,231
337,226
344,234
351,244
361,242
367,250
362,248
358,250
360,264
361,273
357,275
359,273
364,277
366,279
372,278
366,273
365,274
365,278
371,281
377,282
390,292
389,294
388,296
383,300
381,313
385,315
392,330
388,330
391,325
385,317
385,304
384,306
382,309
374,300
387,308
383,307
389,305
396,319
408,369
407,373
402,359
393,343
386,323
388,331
392,368
392,369
391,370
386,358
387,377
386,346
369,309
365,318
361,315
350,307
352,318
344,328
348,300
339,322
326,349
314,336
311,327
308,322
0,0
